animal,date,k,state,block,session,start_s,end_s,lambda,fit_r2,rho_raw,candidate,nodes,Q,Q_over_awake,Cspec,Cspec_over_awake,Aspec,Aspec_over_awake,Deff_frac,Deff_frac_over_awake,Gpair,Gpair_over_awake,Oorg,Oorg_over_awake,top_share,top_share_over_awake,WMI,WMI_over_awake
Chibi,20110621,3,eyes_open,1,1,70.91,150.91,0.01,0.19221405327740737,0.723518223207485,18;25;41,BP029-040;BP039-051;BP086-099,0.08320481148379108,0.9875863665561521,0.0899755372528735,0.9453823495981,0.9247492599010162,1.044642273018947,0.801093073686014,0.9254013309187883,0.5771718762394707,1.3654786579347316,0.4623683923818013,1.2636157673940014,0.6331866516023735,1.1855550712157756,0.03847127492419129,1.2479297044437037
Chibi,20110621,3,eyes_open,2,1,283.73,363.73,0.01,0.18921663124885957,0.7066806130209122,18;25;41,BP029-040;BP039-051;BP086-099,0.08794948922979498,1.0439025695748758,0.1016776654282658,1.0683378302490054,0.8649833654161136,0.9771277773918817,0.8841586178852167,1.0213564298709534,0.5104601096302666,1.2076513325087157,0.45132770501623265,1.2334424535000015,0.5357445855317166,1.003108180891316,0.03969404113143322,1.2875937466313891
Chibi,20110621,3,eyes_open,3,1,496.55,576.55,0.01,0.20389697719195354,0.7504736861308106,18;25;41,BP029-040;BP039-051;BP086-099,0.10616433322625542,1.2601007831043405,0.11482690806819322,1.20649829343616,0.9245597135055375,1.0444281520826009,0.8643467190285851,0.9984702532552994,0.5169495743213127,1.2230041691624682,0.4468236684678503,1.2211332825159367,0.5414544002225223,1.0137990249658972,0.04743673683259874,1.5387510055731042
Chibi,20110621,3,eyes_open,4,1,709.37,789.37,0.01,0.2751322688742318,0.749773590011098,18;25;41,BP029-040;BP039-051;BP086-099,0.18398062098320722,2.1837289184766204,0.20498245790016778,2.153772053968651,0.8975432476900582,1.0139090227551097,0.9032633154397609,1.043425666423491,0.6328574827216078,1.4972201899389033,0.5716369480439807,1.5622379744697061,0.4407076973550944,0.8251646559524548,0.10517012067807704,3.4115042423918385
Chibi,20110621,3,eyes_open,5,1,922.19,1002.19,0.01,0.2072018321698429,0.7676385677769507,18;25;41,BP029-040;BP039-051;BP086-099,0.11835558997970957,1.4048029793618537,0.12662872500693048,1.3305012143157882,0.9346662060542099,1.0558449434292891,0.8887781341403334,1.0266927717157481,0.6241994806475212,1.4767370071311277,0.554774849741269,1.5161552109466763,0.479797602973978,0.8983551373413707,0.06566070464703258,2.1298993575128873
Chibi,20110621,3,eyes_open,6,1,1135.01,1215.01,0.01,0.2610971703035315,0.9043340626104003,18;25;41,BP029-040;BP039-051;BP086-099,0.08593794396016467,1.0200268507483943,0.09856017981358584,1.0355820839069594,0.8719337172751254,0.9849792368945978,0.9162423414136329,1.0584186907109017,0.6689998632717264,1.5827261740656597,0.612966001129487,1.67518696490845,0.48332293133162196,0.9049558306780493,0.05267703785455209,1.7087356842303258
Chibi,20110621,3,eyes_closed,1,1,1469.47,1549.47,0.01,0.15361177782269264,0.6313035547502224,18;25;41,BP029-040;BP039-051;BP086-099,0.09394914090892961,1.1151144874524057,0.09684970069948501,1.0176099015427418,0.9700509163207892,1.09581725350927,0.7603822266520951,0.8783732473346005,0.40868235621937027,0.966864565418454,0.3107548000155095,0.8492679680593648,0.6878441594045047,1.2878937503253993,0.02919514649478333,0.9470310149122636
Chibi,20110621,3,eyes_closed,2,1,1680.696,1760.696,0.01,0.17444756085794455,0.6601736362041397,18;25;41,BP029-040;BP039-051;BP086-099,0.12529080025512476,1.4871193622135166,0.13340544826034229,1.4017049519926301,0.9391730389497909,1.0609360836597341,0.813552682029831,0.939794337827514,0.434646218178937,1.02829011444961,0.3536075965335973,0.9663812272037496,0.6014420067691771,1.1261175821741185,0.0443037787459857,1.4371242342543549
Chibi,20110621,3,eyes_closed,3,1,1891.922,1971.922,0.01,0.17342600813443154,0.6952883509623337,18;25;41,BP029-040;BP039-051;BP086-099,0.10713857969918053,1.2716644477190207,0.11150265231097464,1.1715699916512887,0.9608612663345177,1.085436172640998,0.7696453970794531,0.8890738145016118,0.4232247508843985,1.0012690996097926,0.3257329814482755,0.8902021377326726,0.6756430695904804,1.265048884807831,0.034898568993547714,1.1320384098381084
Chibi,20110621,3,eyes_closed,4,1,2103.148,2183.148,0.01,0.19288710035920598,0.7146427891254469,18;25;41,BP029-040;BP039-051;BP086-099,0.139795679540612,1.65928273564632,0.15351223843220121,1.6129690924014268,0.9106484340813834,1.0287132862390689,0.9018131022173109,1.0417504188271085,0.5303230050289625,1.254643157419561,0.47825223434237524,1.3070250347203933,0.5058340883878406,0.9471048815770161,0.0668575960917083,2.168724075169077
