day,animal,k,preliminary_ratio_Q,final_ratio_Q,direction_agree_Q,preliminary_ratio_Cspec,final_ratio_Cspec,direction_agree_Cspec,preliminary_ratio_Aspec,final_ratio_Aspec,direction_agree_Aspec,preliminary_ratio_Deff_frac,final_ratio_Deff_frac,direction_agree_Deff_frac,preliminary_ratio_Gpair,final_ratio_Gpair,direction_agree_Gpair,preliminary_ratio_Oorg,final_ratio_Oorg,direction_agree_Oorg,preliminary_ratio_top_share,final_ratio_top_share,direction_agree_top_share,preliminary_ratio_WMI,final_ratio_WMI,direction_agree_WMI
20110112_george,George,3,2.270268016824343,2.160115390712583,True,2.1909559762213804,2.2905520941904047,True,1.03619974178566,0.9430544697897716,False,0.9766557014975886,0.8092171527345782,True,1.018302052788288,0.7915524465977359,False,0.9945305057023798,0.6405378170759092,True,1.0519919094406642,1.4479072613939326,True,2.2578507988522496,1.3836355969991143,True
20110112_george,George,4,2.0692302172209645,1.9366010122934276,True,1.929537837280439,1.9333665247964047,True,1.0723968077959087,1.0016729820525692,True,0.9568368812568746,0.7697860614930006,True,0.9410480792908873,0.82427938675535,True,0.9004295093014645,0.6345187827002667,True,1.100449089825121,1.6306484149188514,True,1.863195949124037,1.2288097168965364,True
20110112_george,George,5,2.3737688275982003,2.006733011162107,True,2.371273675892922,1.999120211805204,True,1.0010522411354894,1.0038080748280906,True,0.9617901429192413,0.8000989394041769,True,0.8164562195111804,0.8313178487151245,True,0.7852595440509615,0.665136529064733,True,0.9235472768396061,1.5995216311578249,False,1.8640246272421443,1.3347514298039889,True
20110113_george,George,3,1.7603448997488667,1.5736055554722572,True,2.303986165658726,1.5837588291925555,True,0.764043172648813,0.9935891288918814,True,0.936105964324617,0.9806688634925282,True,0.5856280006667306,1.0998583998268094,False,0.5482098642996274,1.078596886960868,False,1.1786227760326558,1.205681612632555,True,0.9650384386118671,1.6972860534366945,False
20110113_george,George,4,3.444584855151766,1.5243309611635305,True,6.068125847787794,1.5754705642393674,True,0.567652178210432,0.967540108817884,True,0.6255588866715016,0.9640480921076636,True,0.21025955072896196,1.0196814732354298,False,0.13152973046605945,0.9830219788301476,True,1.8305340147851648,1.2406815503212247,True,0.45306531756558477,1.4984508378350274,False
20110113_george,George,5,3.433384540495643,1.8679630444165785,True,6.532600090959309,1.7763891350361989,True,0.525577027935205,1.051550590787932,False,0.666017881060543,0.9675679384476688,True,0.23169483303649582,0.7840153011420747,True,0.1543129017516433,0.7585880686374654,True,1.7997186376695058,1.3052112979266304,True,0.5298155312731153,1.4170144781501208,False
20110114_george,George,3,0.9193545572944142,1.3088590061166068,False,0.9563544585585562,1.5027117807680717,False,0.9613115190366662,0.8709980336000412,True,1.005880387438543,0.9116037132451148,False,1.3957671703522578,1.2528157738832628,True,1.4039748220879282,1.1420715114840347,True,1.0126647305884666,1.1251536642008606,True,1.2907506510131506,1.494810583435087,True
20110114_george,George,4,1.115436424132886,1.3344958464136083,True,1.1760962121746756,1.362917612743874,True,0.9484227672754544,0.9791463797484824,True,1.0270248878198187,0.8552202262779159,False,1.2146161607659305,1.0293205173473394,True,1.2474410262547688,0.8802957257582933,False,0.9586926448199913,1.3181041280319865,False,1.391441157642278,1.1747509896400994,True
20110114_george,George,5,1.2940604356466412,1.3160978649788384,True,1.5563143799609245,1.3770407361662882,True,0.8314903802913728,0.955743595968616,True,1.09187307396577,0.8734253977266295,False,1.3938680132211667,0.9826552844838236,False,1.521926952298356,0.8582760826784579,False,0.8166040482588985,1.2791079543941013,False,1.9694654549135773,1.1295753199755223,True
20110513_kin2,Kin2,3,2.3237084469366462,2.2586225919337326,True,2.697141884088596,2.550322982922149,True,0.8615447561898885,0.885622176900046,True,0.9863305524160867,0.9927905188103334,True,0.7301767782647234,0.7311570640005194,True,0.7201956650672432,0.7258858009009158,True,0.9045259064378248,0.9321838208222972,True,1.6735247503639104,1.6395020690787183,True
20110513_kin2,Kin2,4,2.2072543147603354,2.9258612156702184,True,2.5534825582795673,3.349829816216888,True,0.8644093955540837,0.8734357791866943,True,0.9922796127496746,0.9818358348360484,True,0.7118564053604366,0.6353397603751851,True,0.7063605982444292,0.6237993440325048,True,0.931110732746507,0.9674401590002212,True,1.559117478251707,1.825150307065234,True
20110513_kin2,Kin2,5,1.9879679976056224,2.94772545436326,True,2.264147105908081,3.39719703993257,True,0.8780206870914903,0.8676934012699389,True,0.9112289964483804,0.8793003681526151,True,0.6542586741068225,0.6279315086857956,True,0.5961794750240079,0.5521404067620471,True,0.9531038907455857,1.0312719831777526,False,1.1851857171770472,1.6275583313949689,True
20110523_su,Su,3,1.1761681511605688,0.4543031109707588,False,1.1703816760083754,0.4621858368576611,False,1.0049440924023416,0.9829446831592764,False,0.710543102432012,1.0208370608344637,False,0.6404942826457526,0.6271351233348831,True,0.45509879468107894,0.640202776051241,True,1.9931863900113653,1.0156059436647102,True,0.5352727079354463,0.2908461128121944,True
20110523_su,Su,4,0.994741332253976,0.9801735479264196,True,1.0044358857576874,0.9713144620673424,False,0.9903482605100289,1.009120718577814,False,0.7531451371310106,0.7051527528639865,True,0.5785531939310774,0.5357886475610883,True,0.4357345245808054,0.3778128397809737,True,1.6620158637782556,1.8878563228896303,True,0.433443141490564,0.3703221516202717,True
20110523_su,Su,5,0.9324973734357768,2.6590659561853327,False,0.9352620047488803,2.559785944837789,False,0.997044003392562,1.038784497409933,False,0.7654867309731184,0.4954939349907546,True,0.5621345497071707,0.2673899927653778,True,0.4303065388223879,0.1324901196924665,True,1.7445775857748207,2.3699201801103507,True,0.4012597172241169,0.3522999668051562,True
20110524_kin2,Kin2,3,2.478792190539641,4.623558092439592,True,2.653948243907627,4.8962062777137225,True,0.9340017071658903,0.9443143998006877,True,0.9786260898313421,0.8624530853157079,True,0.7229483660445547,0.433199897673534,True,0.7074961326121404,0.3736145883069883,True,1.071284922806624,1.4005452406278718,True,1.7537358883559688,1.7274287532202652,True
