animal,date,k,transform,lambda,Q_ratio,Cspec_ratio,Aspec_ratio,Deff_frac_ratio,Gpair_ratio,Oorg_ratio,top_share_ratio,WMI_ratio
Chibi,20110621,3,broadband,0.01,6.000000857923295,6.58093806820499,0.9117242550741478,0.8346354930730839,0.7169992742051022,0.5984330427592189,1.357075993534374,3.59059876996494
Chibi,20110621,3,state_zscore,0.01,4.728071631158083,5.236924262481553,0.9028336852283698,0.8187213246852768,0.5788187013178778,0.4738912138955845,1.3810050881376097,2.240591604674773
Chibi,20110621,3,highpass4,0.01,7.924870858188532,8.38047109682746,0.9456354859559862,0.8703713667943527,0.8151509356868807,0.7094840340374857,1.2767301238759363,5.622569345693708
Chibi,20110621,3,delta,0.01,7.992357646145281,8.953514684332106,0.8926503086135807,0.8980707353958183,1.1766499589600743,1.0567148939467332,1.1043438076900989,8.445643362430925
Chibi,20110621,3,remove_pc1,0.01,5.661479059749966,5.376440185573688,1.0530162829563523,0.9416013081715752,1.0842967878527736,1.0209752738884086,1.318422507919771,5.780230133641711
Chibi,20110621,4,broadband,0.01,5.529104929408723,7.229106307000072,0.7648393445334718,0.742371813492831,0.5809830476868052,0.4313054387198455,1.8396430707444835,2.384733027306676
Chibi,20110621,4,state_zscore,0.01,4.264861205297896,4.969007679596118,0.8582923352705595,0.7103821339026546,0.4772796314254977,0.3390509230403175,1.947829623066636,1.446005128295085
Chibi,20110621,4,highpass4,0.01,7.902415634179387,7.918363472709416,0.9979859678600264,0.9377983958700048,0.7886618761624997,0.7396058423490207,1.1858350222569398,5.844672771709317
Chibi,20110621,4,delta,0.01,7.13507500406406,12.47358707933191,0.572014686608194,0.7122664193019438,0.921838166785702,0.65659437023232,1.5231713903318402,4.684850078853875
Chibi,20110621,4,remove_pc1,0.01,5.41734280973536,6.107890757899914,0.8869416668476916,0.837531804416347,0.7885662712098058,0.6604493320282191,1.579937599339413,3.5778804400576
Chibi,20110621,5,broadband,0.01,5.844471768451386,8.494113813603011,0.6880613913003706,0.8156226599316978,0.6508576880961666,0.5308542788019908,1.6556791517896072,3.102562845619824
Chibi,20110621,5,state_zscore,0.01,4.737923171278279,5.547557512507821,0.854055710210467,0.7989592065913091,0.5714941387710959,0.4566005036841383,1.6867534565476092,2.1633381064224078
Chibi,20110621,5,highpass4,0.01,7.857220171890563,7.656210774871151,1.0262544230991073,0.9689293312907056,0.8189483775348301,0.7935031038064311,1.1526480263730194,6.234728593685678
Chibi,20110621,5,delta,0.01,6.717030580395317,13.330138677557745,0.5038980270853389,0.7557780915671464,0.8405492697125417,0.6352687229315035,1.4974194001907677,4.267119438699594
