day,date,animal,k,fit_r2_awake,fit_r2_deep,Q_awake,Q_deep,Q_ratio,Q_recovery_eyes_closed,Q_recovery_eyes_closed_ratio,Q_recovery_eyes_open,Q_recovery_eyes_open_ratio,Cspec_awake,Cspec_deep,Cspec_ratio,Cspec_recovery_eyes_closed,Cspec_recovery_eyes_closed_ratio,Cspec_recovery_eyes_open,Cspec_recovery_eyes_open_ratio,Aspec_awake,Aspec_deep,Aspec_ratio,Aspec_recovery_eyes_closed,Aspec_recovery_eyes_closed_ratio,Aspec_recovery_eyes_open,Aspec_recovery_eyes_open_ratio,Deff_frac_awake,Deff_frac_deep,Deff_frac_ratio,Deff_frac_recovery_eyes_closed,Deff_frac_recovery_eyes_closed_ratio,Deff_frac_recovery_eyes_open,Deff_frac_recovery_eyes_open_ratio,Gpair_awake,Gpair_deep,Gpair_ratio,Gpair_recovery_eyes_closed,Gpair_recovery_eyes_closed_ratio,Gpair_recovery_eyes_open,Gpair_recovery_eyes_open_ratio,Oorg_awake,Oorg_deep,Oorg_ratio,Oorg_recovery_eyes_closed,Oorg_recovery_eyes_closed_ratio,Oorg_recovery_eyes_open,Oorg_recovery_eyes_open_ratio,top_share_awake,top_share_deep,top_share_ratio,top_share_recovery_eyes_closed,top_share_recovery_eyes_closed_ratio,top_share_recovery_eyes_open,top_share_recovery_eyes_open_ratio,WMI_awake,WMI_deep,WMI_ratio,WMI_recovery_eyes_closed,WMI_recovery_eyes_closed_ratio,WMI_recovery_eyes_open,WMI_recovery_eyes_open_ratio
20110112_george,20110112,George,3,0.3820085556159185,0.9198289205157169,0.4584326191424015,0.9902673562141814,2.160115390712583,0.3138426692064974,0.6845993415425122,0.2231340010980603,0.4867323828646427,0.4876759366466372,1.117047137972222,2.2905520941904047,0.3342823286130358,0.6854599612021699,0.2445314643765759,0.5014220427975715,0.940035348667562,0.8865045373213307,0.9430544697897716,0.9388551004435558,0.9987444639973602,0.9124960735295652,0.9707040004644166,0.9403699286140004,0.76096347615024,0.8092171527345782,0.914433863428138,0.9724192954318636,0.9607520086041316,1.0216745339997975,0.3317898044702836,0.2626290314846374,0.7915524465977359,0.4542658508899289,1.3691374622411423,0.4481638693767865,1.3507463560922222,0.3120051547445737,0.1998511007365205,0.6405378170759092,0.4153960770527481,1.3313756863819013,0.4305743376875472,1.3800231539124457,0.4751632660670704,0.6879923432861684,1.4479072613939326,0.5180610194621019,1.0902800289047943,0.4545205951152372,0.9565566776180054,0.1430333402754851,0.1979060211628483,1.3836355969991145,0.1303690136001428,0.9114589182427639,0.0960757747383697,0.6717019581121844
20110112_george,20110112,George,4,0.3820085556159185,0.9198289205157169,0.559658081226533,1.083834406641501,1.9366010122934274,0.3699888834553477,0.6610980808934074,0.218562127758539,0.39052795821252784,0.6335814399053735,1.2249451466453545,1.9333665247964051,0.5524777883143928,0.871991749627177,0.2920368870419051,0.46093030611111546,0.883324614606954,0.884802400833784,1.0016729820525692,0.6696900604532576,0.7581471741860656,0.7484058947908762,0.8472603190435132,0.937551091033083,0.7217137618148226,0.7697860614930006,0.9060581655860186,0.9664093767814163,0.7838268231874732,0.8360363831732928,0.3347863680026328,0.2759575021112611,0.82427938675535,0.5082129625856872,1.5180216733964822,0.4539284084231194,1.3558748258816489,0.3138793245838716,0.1991623269497401,0.6345187827002667,0.4604705046074236,1.4670303793277772,0.3558012623288395,1.1335606854658118,0.3815343064443901,0.6221483120407081,1.6306484149188514,0.4335851763324038,1.1364251366360425,0.4549306763420535,1.1923716128745059,0.1756651005332893,0.2158589824549128,1.2288097168965364,0.1703689678638214,0.9698509683859246,0.0777646809537675,0.4426871400049707
20110112_george,20110112,George,5,0.3820085556159185,0.9198289205157169,0.6254845948511303,1.255180584461119,2.006733011162107,0.4725901964128711,0.755558490653716,0.2845108795719883,0.45486472714760284,0.7009739032745697,1.4013310979841782,1.9991202118052038,0.6906486936820556,0.9852701940196629,0.3841946536621732,0.5480869571141298,0.8923079617218355,0.8957059372097733,1.0038080748280906,0.68427002141038,0.7668541028032333,0.7405383621557682,0.8299134311508258,0.9162785231875108,0.7331134746011528,0.8000989394041769,0.9044174796777356,0.9870551985999698,0.8083622151741435,0.88222324840928,0.3621336100686404,0.3010481336697039,0.8313178487151245,0.498396052330764,1.3762767069212267,0.49675208618796,1.3717370395247306,0.3318152494302557,0.2207024432967889,0.665136529064733,0.4507581015303224,1.3584610782786442,0.4015556167832764,1.210178306972837,0.3392809147411347,0.5426871621674587,1.5995216311578249,0.3390737949424686,0.9993895330103547,0.350057974480769,1.0317644148886387,0.2075453268553099,0.2770214217692611,1.3347514298039889,0.2130238597369087,1.0263968019160372,0.1142469417280851,0.550467425401162
20110113_george,20110113,George,3,0.3708947325151932,0.9025771159515529,0.7020305461399018,1.1047191675169723,1.5736055554722572,0.7377886141663663,1.0509352024966427,0.2250704233703095,0.32059918846530805,0.7837239224383901,1.241229681811222,1.5837588291925557,0.7576843052642849,0.9667745025657907,0.2324257492314864,0.2965658474585581,0.8957625587792233,0.8900199404714112,0.9935891288918814,0.9737414501532022,1.0870530818794786,0.9683540834632256,1.081038802049209,0.9531608258953764,0.9347351438564184,0.9806688634925282,0.7522753827268637,0.789242866774549,0.7734429695856497,0.8114506477530651,0.3297978807679292,0.3627309694076875,1.0998583998268094,0.4003629022926125,1.2139644480442802,0.3427955686112081,1.0394110714508351,0.3143504204113043,0.3390573848704729,1.078596886960868,0.301183155551813,0.9581127811368508,0.2651328225474541,0.8434307872104875,0.4238930059814627,0.5110800030353911,1.205681612632555,0.6517041920102229,1.5374261495570007,0.6719916694978809,1.5852860509976612,0.2206835973206555,0.3745631919545881,1.6972860534366945,0.2222095029448249,1.0069144496586768,0.0596735566201205,0.2704032259063378
20110113_george,20110113,George,4,0.3708947325151932,0.9025771159515529,0.7996918438084786,1.218995036907214,1.5243309611635305,0.8236705095777018,1.029984882245424,0.3061803404004944,0.38287290632142895,0.893613842933763,1.407862305338965,1.5754705642393674,0.8580887303348231,0.9602455659344871,0.3438223944193309,0.38475500031484616,0.8948964366790296,0.8658481957251649,0.967540108817884,0.9598896716150888,1.0726265434436746,0.8905188997871742,0.9951083312968588,0.8864530512981929,0.8545833728470398,0.9640480921076637,0.7144903374836166,0.8060103537770665,0.796166884879327,0.8981489586090954,0.3723696512376115,0.3796984345621309,1.0196814732354298,0.3995826631134405,1.0730806385143996,0.4531629104407507,1.2169705799992396,0.3300882135504246,0.3244839688728468,0.9830219788301477,0.2854979518205243,0.8649141050803116,0.3607933027484619,1.0930208590842239,0.3789685847824818,0.47017933129097,1.2406815503212247,0.5819473871881109,1.5356085189017283,0.5355184204275543,1.413094493663447,0.263968852113586,0.3955443476119534,1.4984508378350274,0.2351562434594012,0.8908484526735498,0.1104678162497424,0.41848807298752055
20110113_george,20110113,George,5,0.3708947325151932,0.9025771159515529,0.8260771926507937,1.5430816677070769,1.8679630444165782,0.8872779286378014,1.074085977111438,0.307940431776208,0.37277440233891457,0.9943414284980332,1.7663373101002793,1.7763891350361987,0.9776896812584605,0.9832534914443568,0.3561482900532167,0.3581750491792178,0.8307782105575093,0.87360531812549,1.0515505907879321,0.9075251029505772,1.0923795200906454,0.8646410508673078,1.0407603857196426,0.7982965973299887,0.7724061929483659,0.9675679384476688,0.6074011856475138,0.7608715703900649,0.6946740311998807,0.87019540547124,0.4149998072044517,0.3253661988193011,0.7840153011420747,0.4188398382499526,1.0092530911553148,0.4998956944189887,1.2045684979624884,0.3312929339839151,0.2513148669440975,0.7585880686374654,0.2544038143494341,0.7679119843883717,0.3472645572215026,1.0482099725023504,0.3556199856874614,0.4641592230877812,1.3052112979266304,0.5889078995056176,1.6560033834070917,0.526664100683686,1.480974416175101,0.2736735368504776,0.3877993640036773,1.4170144781501208,0.2257268894335227,0.8248034940873707,0.1069367976913631,0.390745846025253
20110114_george,20110114,George,3,0.37142721770155784,0.9068836448310386,0.5013391692645637,0.6561822868109422,1.3088590061166068,0.2427118591095665,0.4841270620558356,0.2501529348148367,0.4989694604987617,0.5249139604314075,0.7887943922299014,1.5027117807680717,0.2445842642962086,0.4659511514900343,0.268598839170559,0.5117006965290225,0.9550882755195376,0.8318800098919716,0.8709980336000412,0.992344539449298,1.0390081889650402,0.931325450204164,0.9751197602101781,0.907087075939727,0.8269039466633087,0.9116037132451149,0.9238423859167164,1.0184715562832058,0.9487860785855236,1.0459702312510595,0.3092434304180601,0.3874250475975169,1.2528157738832628,0.3657905024523237,1.1828561788938208,0.3901050669594141,1.2614821483257987,0.2805107190514885,0.3203633008946069,1.1420715114840347,0.3379327705312293,1.2047053733771964,0.3701262567167656,1.3194727744034191,0.5354056645836717,0.6024136453402151,1.1251536642008606,0.4976406869121018,0.9294647401593412,0.4804874215838872,0.8974268547522959,0.1406310108590787,0.2102167233913255,1.494810583435087,0.0820202909896812,0.5832304730559804,0.0925881693697287,0.6583766183868791
20110114_george,20110114,George,4,0.37142721770155784,0.9068836448310386,0.5256360810646502,0.7014591669059025,1.3344958464136085,0.2939629097243073,0.5592517719272615,0.2810257677158879,0.534639416583968,0.6400246757781607,0.8723009032087428,1.362917612743874,0.3180908977709507,0.4969978655654276,0.3263851853897709,0.5099571903113614,0.8212747116750874,0.8041481607156405,0.9791463797484825,0.9241475055849686,1.1252599068831182,0.8610248880637319,1.0484005848756373,0.9378726522625164,0.8020876618878184,0.8552202262779159,0.9180479898476868,0.9788620956512541,0.9431149317808248,1.0055895429999606,0.3793702205758456,0.3904935517093036,1.0293205173473394,0.3877905414503309,1.022195524102298,0.4168270956485833,1.0987343577360447,0.3558009549608841,0.3132100598727853,0.8802957257582933,0.3560103270604223,1.0005884528881077,0.393115857877013,1.1048757806741445,0.4034090924481389,0.531735190041529,1.3181041280319863,0.4247449264798483,1.052888827820489,0.3972592956160449,0.9847554332631098,0.187021819604699,0.2197040676649123,1.1747509896400994,0.1046538316345839,0.5595808652476314,0.1104756857611774,0.5907101427773813
20110114_george,20110114,George,5,0.37142721770155784,0.9068836448310386,0.5871725670449546,0.7727765618620086,1.3160978649788384,0.326325525102442,0.5557574440930211,0.3387020595838986,0.57683563332748,0.7044045745820131,0.9699937939413164,1.3770407361662882,0.3516044406120711,0.4991512737132773,0.3934320108697992,0.5585313115027084,0.8335729043119533,0.7966819650691093,0.9557435959686159,0.9281041062347688,1.113404840097152,0.8608909550473446,1.0327722393495264,0.8830533346075888,0.7712812099934597,0.8734253977266295,0.8931086171224427,1.011386948127343,0.8973378064343563,1.0161762277168855,0.4043404963514245,0.3973273254705395,0.9826552844838237,0.4135727487032959,1.022832865951293,0.488835940251376,1.2089710149302333,0.357054223620013,0.3064511003523829,0.8582760826784579,0.3693653856739281,1.0344798107388222,0.4386509703314458,1.2285276053708591,0.3761677135124193,0.481159114539977,1.2791079543941013,0.3821778530470033,1.0159772870416366,0.3446011832859976,0.9160838926560891,0.2096524450572063,0.2368182277091444,1.1295753199755223,0.1205333534347107,0.5749198555820404,0.1485719870897364,0.7086584993043925
20110513_kin2,20110513,Kin2,3,0.3078889932132508,0.8896664553532285,0.298722420038399,0.674701206615846,2.2586225919337326,0.1453375653972857,0.4865304900067542,0.1700498840041709,0.5692571852568414,0.3043412737437743,0.7761685450805489,2.5503229829221494,0.1551648180513643,0.5098382356840564,0.1770497733003792,0.5817474939315588,0.9815376546327206,0.8692715144051955,0.885622176900046,0.9366657159948109,0.9542840374731214,0.9604637206491504,0.9785296734321866,0.9144516135880408,0.9078588918810176,0.9927905188103334,0.8973263851858917,0.9812726795516772,0.8709833988819282,0.9524652654550457,0.6517542583831765,0.4765347300092792,0.7311570640005194,0.5692856136339614,0.8734666575807312,0.6262920058550014,0.9609327408288212,0.5959977332413726,0.4326262919290441,0.7258858009009158,0.5108350018204947,0.8571089675832912,0.5454899399521697,0.9152550580779678,0.5045546314468043,0.4703376641556681,0.9321838208222972,0.5298941057099706,1.0502214679716757,0.544629522296948,1.079426266953946,0.1780378852112627,0.2918934811782646,1.6395020690787185,0.0742435154843088,0.417009645987483,0.0927605010143086,0.5210155181535517
