animal,fold,heldout_date,training_dates,lambda,k,evaluation,candidate,Q,Cspec,Aspec,Deff,Deff_frac,Gpair,WMI,Oorg,top_share,singular_values
Chibi,LODO,20110621,20110622,0.01,3,heldout_awake,18;25;41,0.0842506683986916,0.0951737011920349,0.8852305557466595,2.5970129291600834,0.8656709763866944,0.4226883173058417,0.0308280785265391,0.3659090083493969,0.5340845541262343,0.0449969806666;0.029321338281;0.00993234945111
Chibi,LODO,20110621,20110622,0.01,3,deep_anesthesia,18;25;41,0.51128305282404,0.6362872019212542,0.8035413116596293,2.1580494954887683,0.7193498318295894,0.2998567186728131,0.1102847157831104,0.2157018801502606,0.7295413525524735,0.373002129894;0.077490847134;0.0607900757956
Chibi,LODO,20110621,20110622,0.01,3,eyes_open,18;25;41,0.0891808878390979,0.0994503330503342,0.8967379505301534,2.600236783213853,0.8667455944046178,0.4916686999626681,0.0380045851407873,0.4261516795992885,0.4935353721530831,0.0440139226686;0.0355301036055;0.00963686156496
Chibi,LODO,20110621,20110622,0.01,3,eyes_closed,18;25;41,0.1002533015018373,0.1084402548852752,0.9245026361096312,2.469654950286831,0.823218316762277,0.3458867361699101,0.028546154818817,0.2847402967401912,0.6110308309206381,0.0612578581192;0.0275081771393;0.0114872662434
Chibi,LODO,20110621,20110622,0.01,4,heldout_awake,18;25;32;51,0.099005375545688,0.1075798400893065,0.9202967346251812,3.671997728748698,0.9179994321871744,0.5096220204996422,0.0463179546756164,0.4678327254487521,0.3506160719859362,0.0347128758793;0.0290001750637;0.02596051617;0.0093318084327
Chibi,LODO,20110621,20110622,0.01,4,deep_anesthesia,18;25;32;51,0.5545544234040313,0.7709187242888682,0.7193422677800159,2.72376242594296,0.6809406064857398,0.2932885740317529,0.1107512281720101,0.1997120994765196,0.6470581717371261,0.358828971337;0.103930071934;0.0581124573847;0.0336829227487
Chibi,LODO,20110621,20110622,0.01,4,eyes_open,18;25;32;51,0.1294305513933283,0.1385291994693326,0.934319637225518,3.336453244485228,0.8341133111213069,0.3767733300923489,0.0406763529345638,0.3142716499055303,0.4740815886039626,0.0613606414184;0.0356493892447;0.0232555627204;0.00916495800975
Chibi,LODO,20110621,20110622,0.01,4,eyes_closed,18;25;32;51,0.1244381313440533,0.1308073466146258,0.9513084284987684,3.4700467390569227,0.8675116847642307,0.4605908386460708,0.0497214871043304,0.3995679344208228,0.4595419791994969,0.0571845451657;0.0290474609435;0.0271499058874;0.0110562193474
Chibi,LODO,20110621,20110622,0.01,5,heldout_awake,4;18;25;32;51,0.110879753540568,0.119782384401661,0.9256766267797756,4.362854185328891,0.8725708370657783,0.5491681020417963,0.0531322551553379,0.479188070488435,0.3296587946139254,0.0365524858993;0.0296754578855;0.0260116629337;0.0107189844399;0.00792116238225
Chibi,LODO,20110621,20110622,0.01,5,deep_anesthesia,4;18;25;32;51,0.6583488585461313,1.008849910201379,0.6525736404285516,3.5617212208546847,0.7123442441709369,0.355503775068299,0.1667209680225063,0.2532410679509422,0.545904823154899,0.359395817199;0.118256820814;0.0946837445784;0.0535277059773;0.0324847699778
Chibi,LODO,20110621,20110622,0.01,5,eyes_open,4;18;25;32;51,0.1454959290460261,0.1558713445268344,0.9334360301291804,3.9945230636529354,0.7989046127305869,0.4156838592965192,0.0483179980773728,0.3320917526296414,0.4386580222307942,0.063822956478;0.037089480029;0.0229648882237;0.0128461174094;0.00877248690598
Chibi,LODO,20110621,20110622,0.01,5,eyes_closed,4;18;25;32;51,0.134328722336854,0.1425817362819231,0.9421173134772984,4.037741905724961,0.8075483811449923,0.4834759094497993,0.0524459883156149,0.3904301879987883,0.4292048071228123,0.0576545333616;0.0299210040615;0.0273279690853;0.0124149979884;0.00701021784005
Chibi,LODO,20110622,20110621,0.01,3,heldout_awake,41;51;55,0.0934967673233932,0.0966382799016488,0.9674920478566794,2.798022198919704,0.932674066306568,0.4563770448427154,0.0397969957039163,0.4256510341824303,0.498484258104533,0.0466066666944;0.0285223542806;0.0183677463484
Chibi,LODO,20110622,20110621,0.01,3,deep_anesthesia,41;51;55,0.3478428193902443,0.5041339124076938,0.6899809967732211,2.809246592823928,0.9364155309413094,0.5234331855267446,0.170495493361943,0.4901509643373274,0.5075659694687492,0.176553177847;0.0922040992091;0.0790855423346
Chibi,LODO,20110622,20110621,0.01,3,eyes_open,41;51;55,0.106639627997372,0.1134180401445021,0.9402351500828804,2.7482074934785348,0.9160691644928448,0.4194409688372802,0.0409748841180351,0.3842369378768367,0.5354604174667064,0.057101299726;0.0268716832684;0.022666645003
Chibi,LODO,20110622,20110621,0.01,3,eyes_closed,41;51;55,0.1158268896377648,0.1206637716276656,0.959914380889518,2.7744455000806614,0.9248151666935538,0.4892565021112668,0.0524084051294805,0.4524718335559363,0.5188344656905561,0.0600949823978;0.0320731791565;0.0236587280834
Chibi,LODO,20110622,20110621,0.01,4,heldout_awake,39;41;51;55,0.1050253247688477,0.1206632230129216,0.8704004596131227,3.5470821261931453,0.8867705315482863,0.4874093858710529,0.0453940752986892,0.4322202801904974,0.4426177154517376,0.0464860693138;0.0282522398112;0.0183027004024;0.0119843152414
Chibi,LODO,20110622,20110621,0.01,4,deep_anesthesia,39;41;51;55,0.4108269229229416,0.5748620691747798,0.7146530358363838,3.664279845929597,0.9160699614823992,0.5748098629673252,0.2163275096379383,0.5265660490281808,0.429229602168108,0.176339076686;0.0969994669362;0.078685286933;0.0588030923676
Chibi,LODO,20110622,20110621,0.01,4,eyes_open,39;41;51;55,0.1215806013533974,0.1452252343131664,0.8371864705772745,3.5164264241338508,0.8791066060334627,0.4627153763568764,0.0494560882120753,0.4067761440685899,0.4698155498848254,0.0571204570802;0.0268433923809;0.0231693449964;0.0144474068958
Chibi,LODO,20110622,20110621,0.01,4,eyes_closed,39;41;51;55,0.1272794416613709,0.139557459271328,0.9120217745861496,3.4347665359046875,0.8586916339761719,0.5110556055020163,0.0558552049110948,0.4388391729412083,0.4706648738762828,0.0599059623566;0.0317686433269;0.024019651937;0.0115851840409
Chibi,LODO,20110622,20110621,0.01,5,heldout_awake,25;39;41;51;55,0.1285130306444242,0.1517953366123678,0.8466204134623817,4.2194358320460585,0.8438871664092117,0.5556863602719762,0.0602644621016438,0.4689365879821663,0.3689734093040774,0.0474178910569;0.0398129687354;0.0182530354938;0.012539473214;0.0104896621443
