animal,date,state,block,session,start_s,rms_median,delta_fraction,theta_fraction,alpha_fraction,autocorr_25ms,autocorr_50ms,autocorr_100ms,pc1_variance_fraction,covariance_effective_rank,mean_abs_correlation
George,20110112,eyes_open,1,1,30.57,100.56389666137729,0.5133131125833963,0.17839831699288466,0.0916578118099186,0.5235906317952879,0.36293994601033525,0.07596344462363334,0.9439101030195719,1.484657006681112,0.06796576255263996
George,20110112,eyes_open,2,1,135.188,112.64341819011686,0.5348795581001202,0.1721410960456014,0.10068104924683778,0.5237931269700128,0.3285605585703132,0.07873858103579877,0.14109266435192588,25.857733362510107,0.07377407768030692
George,20110112,eyes_open,3,1,239.80599999999995,109.60460060409866,0.5481776078265351,0.18681742839516918,0.08754680460686406,0.5533374423494685,0.35900568058152754,0.08831006216443887,0.17613857614655457,24.610300211901297,0.07698072473255377
George,20110112,eyes_open,4,1,344.4239999999999,118.24720879943109,0.526728416802624,0.1760063875312136,0.08915150507026146,0.5553374607083114,0.35276703352515154,0.06495084773427592,0.16807554744867192,25.923666259147176,0.07062292409791007
George,20110112,eyes_open,5,1,449.0419999999999,92.02465406791696,0.5038674356699205,0.16855280395446054,0.09610548295372363,0.46283422964273546,0.3059338156058832,0.06570575675195107,0.14008179728326853,25.773991810196392,0.06270390394171342
George,20110112,eyes_open,6,1,553.66,95.83542578695806,0.5255122989800274,0.1621460844941452,0.08468964043498647,0.5069212132766789,0.3106251267867808,0.0636485920614251,0.1611802061319808,24.510848348385192,0.0692734361436931
George,20110112,eyes_closed,1,1,750.12,113.06525007132679,0.5903800538199706,0.16419781133175596,0.09430539806416464,0.5995160203121468,0.35028151270280317,0.12742334004407543,0.2057811547087312,20.806277958505124,0.07560835395343098
George,20110112,eyes_closed,2,1,843.134,128.11762406803342,0.5698007697236328,0.18046430039462386,0.09654137423536328,0.580730905413615,0.3652070239751753,0.1289603705811506,0.19456131933340215,24.35026479514091,0.07464689625991323
George,20110112,eyes_closed,3,1,936.148,114.87608109572571,0.583092697616358,0.18549320001651218,0.1031402365676906,0.5703160517674027,0.31271103961926844,0.09182041500693758,0.17703930499166762,24.097816293946376,0.07969034314940592
George,20110112,eyes_closed,4,1,1029.162,122.78416241759778,0.5740925208403453,0.1889946609401848,0.10319466261060242,0.5634588396054367,0.3020259619987527,0.07204463778582867,0.18463333253137407,25.380307007869405,0.07570242604483782
George,20110112,eyes_closed,5,1,1122.176,117.70948809796278,0.641572675044916,0.16666666570693675,0.08603628808004243,0.5952270621536921,0.3555937916943459,0.12672774138625603,0.1746987178697837,24.61796791166688,0.07748086128519592
George,20110112,eyes_closed,6,1,1215.19,124.6310645583013,0.5771535810593819,0.17080138900360797,0.11085372317853062,0.5822796358170639,0.34280911998348057,0.11855199484489662,0.19538214397502465,25.266853397224146,0.08022710195957683
George,20110112,deep_anesthesia,1,1,2068.84,229.8129920757452,0.9316949805220957,0.05638272591681184,0.010613494897885652,0.9266959648854591,0.8086282653199915,0.5224063085012678,0.36970130416040264,11.073527450542985,0.20022429900013008
George,20110112,deep_anesthesia,2,1,2268.226,229.04761183502728,0.9301773556974886,0.04640742185745004,0.008616910106033368,0.9312117118292392,0.8119186032019637,0.5416481718837034,0.2524439469032557,13.72393712730068,0.1420934255299797
George,20110112,deep_anesthesia,3,1,2467.612,235.1023230262709,0.9317615346941072,0.053102792982873535,0.009440335492762202,0.9275322294719903,0.816562312091948,0.5515094994467337,0.20892976275737937,14.411389182045063,0.13017310884657088
George,20110112,deep_anesthesia,4,1,2666.998,221.40463406381156,0.9298853198349097,0.05142302059007302,0.009541606749241859,0.9299310791302214,0.8188514380206035,0.5524648525301704,0.2260692875633011,14.724177929289663,0.13650351165792998
George,20110112,deep_anesthesia,5,1,2866.384,234.65232959762153,0.9331495699830956,0.04890346324738135,0.009814484250175944,0.9351443809292782,0.8153929482780209,0.5599733173311354,0.6807994797528484,4.508782835975992,0.12868808436421617
George,20110112,deep_anesthesia,6,1,3065.77,239.72247522957048,0.9332749671812519,0.04769320189062705,0.010899802824364856,0.9334731515190996,0.8304817647160284,0.5660421276866799,0.23921119031329605,15.050678678691222,0.13827855700525096
George,20110112,recovery_eyes_closed,1,2,342.81,96.59267166581782,0.7222263523144323,0.0980153637789771,0.047896007560452446,0.7026054040808563,0.5715705379809094,0.36428540521720454,0.5266382192436595,10.11443878442766,0.0834718445974821
George,20110112,recovery_eyes_closed,2,2,982.278,111.97082831414139,0.7397715225511751,0.12061412181816929,0.04320390712526225,0.7658911174393603,0.5871208956609125,0.26963586401643747,0.15001518566277072,26.887459072796958,0.10404101849718403
George,20110112,recovery_eyes_closed,3,2,1621.746,97.76258777071446,0.6894057805238045,0.12692063592274758,0.06409983670001637,0.6689458712365813,0.4947557745825227,0.22516091423781384,0.14314113348401708,29.880818463069364,0.07407680480815977
George,20110112,recovery_eyes_closed,4,2,2261.2140000000004,89.49987879237277,0.6533023423944286,0.12100701455255218,0.07001008824600596,0.63712127652252,0.4752935820550278,0.23454835426533152,0.16186948072558016,27.07647392589177,0.07716660390734015
George,20110112,recovery_eyes_closed,5,2,2900.682,85.38645262113582,0.6465130821334447,0.14147293007492703,0.07960381466550354,0.6120340601242844,0.42472030423499013,0.1881436203374418,0.16072497439663097,26.603806497949865,0.06969820523344233
George,20110112,recovery_eyes_closed,6,2,3540.15,84.16051253856843,0.5543349880271232,0.1390515607469488,0.09078228273327302,0.5366711757872683,0.3549744093817228,0.18116545294457362,0.1746053172238051,25.79930874858037,0.06194443497677143
George,20110112,recovery_eyes_open,1,2,3695.26,95.68381928148733,0.5876128204139772,0.15608510979070483,0.07542897564804078,0.6014352653871833,0.3819586992048862,0.11013204215689291,0.18023848953696095,23.869303682482126,0.06963226564138877
George,20110112,recovery_eyes_open,2,2,3792.526,101.13606142089439,0.6089639446496136,0.156101755135043,0.0745854863980348,0.5911617120852709,0.38297357604758575,0.11640272941796305,0.16046880056378815,24.926581828319126,0.06458302211364321
George,20110112,recovery_eyes_open,3,2,3889.792,99.68716575360571,0.5926990707584022,0.1590295928618339,0.0742179072678062,0.5976960093212184,0.38187025399073826,0.1214162358074664,0.14906109451880303,25.742260386344284,0.06431647302245272
